prompt_type,conflict_pattern,sample_count,mean_sp_score
adm_34,SP=fake;FSD=real/real/real,200,0.4200233435293997
adm_7,SP=fake;FSD=real/real/real,191,0.419345220207906
adm_85,SP=fake;FSD=real/real/real,190,0.42002772494721924
adm_153,SP=fake;FSD=real/real/real,187,0.42016285000184517
adm_174,SP=fake;FSD=real/real/real,185,0.42246291576494444
adm_91,SP=fake;FSD=real/real/real,184,0.41929543369243705
adm_91,SP=fake;FSD=fake/fake/fake,162,0.4386123318549826
adm_34,SP=fake;FSD=fake/fake/fake,147,0.44278994115593084
adm_85,SP=fake;FSD=fake/fake/fake,145,0.4404472790713962
adm_7,SP=fake;FSD=fake/fake/fake,142,0.44341554890523127
adm_153,SP=fake;FSD=fake/fake/fake,140,0.43894589304967324
adm_174,SP=fake;FSD=fake/fake/fake,138,0.4479824212452012
adm_153,SP=real;FSD=real/real/real,51,0.37912130796085486
adm_174,SP=real;FSD=real/real/real,47,0.38182000513764397
adm_7,SP=real;FSD=real/real/real,41,0.3791435164295628
adm_34,SP=real;FSD=real/real/real,39,0.3800225895542351
adm_85,SP=real;FSD=real/real/real,39,0.37945015087667644
adm_91,SP=real;FSD=real/real/real,35,0.3804437691936765
adm_85,SP=fake;FSD=real/real/fake,30,0.41675761607092643
adm_174,SP=fake;FSD=real/real/fake,27,0.42472196695505043
adm_153,SP=fake;FSD=real/real/fake,26,0.41606213287530386
adm_91,SP=fake;FSD=real/real/fake,25,0.4182934265812223
adm_7,SP=fake;FSD=real/real/fake,25,0.41661593045727807
adm_174,SP=fake;FSD=real/fake/fake,23,0.44188230450227767
adm_34,SP=fake;FSD=real/real/fake,23,0.427877641673352
adm_85,SP=fake;FSD=fake/fake/real,23,0.42526042418687326
adm_7,SP=fake;FSD=fake/fake/real,20,0.43019128333788864
adm_91,SP=real;FSD=fake/fake/fake,19,0.38135783889841085
adm_34,SP=real;FSD=fake/fake/fake,19,0.38017687780920145
adm_174,SP=fake;FSD=fake/fake/real,18,0.4298746720684812
adm_7,SP=real;FSD=fake/fake/fake,18,0.38192265383332497
adm_153,SP=real;FSD=fake/fake/fake,18,0.380606485811762
adm_174,SP=real;FSD=fake/fake/fake,17,0.3829558992213748
adm_7,SP=fake;FSD=real/fake/fake,16,0.4426560870193155
adm_91,SP=fake;FSD=fake/real/fake,16,0.41776049932155435
adm_153,SP=fake;FSD=real/fake/fake,15,0.4427202475128929
adm_153,SP=fake;FSD=real/fake/real,14,0.4704988738909472
adm_85,SP=fake;FSD=real/fake/fake,14,0.4474261735233012
adm_7,SP=fake;FSD=fake/real/real,14,0.42348569115761486
adm_34,SP=fake;FSD=fake/real/fake,14,0.42002924385448975
adm_34,SP=fake;FSD=fake/fake/real,13,0.4258456633657588
adm_85,SP=real;FSD=fake/fake/fake,13,0.38123408511669044
adm_174,SP=fake;FSD=real/fake/real,12,0.4407224976258453
adm_7,SP=fake;FSD=real/fake/real,12,0.4365241341705932
adm_153,SP=fake;FSD=fake/fake/real,12,0.4292723233818494
adm_85,SP=fake;FSD=fake/real/real,12,0.42180316346272195
adm_34,SP=fake;FSD=real/fake/fake,11,0.459004220478715
adm_91,SP=fake;FSD=real/fake/real,11,0.43736564021355817
adm_91,SP=fake;FSD=fake/fake/real,11,0.4332162324958928
adm_91,SP=fake;FSD=fake/real/real,11,0.4222402268658719
adm_153,SP=fake;FSD=fake/real/real,11,0.41731171600747285
adm_34,SP=fake;FSD=real/fake/real,10,0.4372527707687167
adm_85,SP=fake;FSD=real/fake/real,10,0.42194363785682115
adm_34,SP=fake;FSD=fake/real/real,10,0.41472953697404147
adm_91,SP=fake;FSD=real/fake/fake,9,0.4475243733395653
adm_174,SP=fake;FSD=fake/real/fake,9,0.42082189090732314
adm_85,SP=fake;FSD=fake/real/fake,9,0.41626039022429817
adm_174,SP=fake;FSD=fake/real/real,9,0.40696077044602236
adm_7,SP=real;FSD=real/real/fake,8,0.3829198694715969
adm_7,SP=fake;FSD=fake/real/fake,7,0.4428520516183854
adm_91,SP=real;FSD=real/real/fake,7,0.38043152233709543
adm_153,SP=real;FSD=fake/real/real,7,0.37966154283922887
adm_153,SP=fake;FSD=fake/real/fake,6,0.4302058316170192
adm_174,SP=real;FSD=fake/real/fake,5,0.3808858604458486
adm_174,SP=real;FSD=real/real/fake,5,0.37882389105191583
adm_153,SP=real;FSD=real/real/fake,4,0.3832445621637084
adm_85,SP=real;FSD=real/fake/fake,4,0.3829282800484577
adm_91,SP=real;FSD=fake/real/real,4,0.38207508333371987
adm_91,SP=real;FSD=fake/fake/real,4,0.3813663673752372
adm_34,SP=real;FSD=fake/fake/real,4,0.3795256755079987
adm_153,SP=real;FSD=fake/real/fake,4,0.37891964010358503
adm_85,SP=real;FSD=fake/real/fake,3,0.38324456853142824
adm_34,SP=real;FSD=real/real/fake,3,0.38063720060929196
adm_34,SP=real;FSD=fake/real/fake,3,0.3796296072939361
adm_85,SP=real;FSD=real/real/fake,3,0.37895364535331705
adm_85,SP=real;FSD=fake/fake/real,3,0.375091226383055
adm_153,SP=real;FSD=fake/fake/real,3,0.3710678143880987
adm_174,SP=real;FSD=fake/fake/real,2,0.38371936898694026
adm_153,SP=real;FSD=real/fake/fake,2,0.38340796594110893
adm_7,SP=real;FSD=real/fake/real,2,0.3830253863825674
adm_7,SP=real;FSD=fake/real/fake,2,0.38082603480128296
adm_174,SP=real;FSD=fake/real/real,2,0.3756177648930608
adm_34,SP=real;FSD=fake/real/real,2,0.3748124326492202
adm_34,SP=real;FSD=real/fake/fake,2,0.37111531931895564
adm_85,SP=real;FSD=real/fake/real,1,0.3845740479918751
adm_91,SP=real;FSD=real/fake/real,1,0.3828775309175088
adm_85,SP=real;FSD=fake/real/real,1,0.3753536034260831
adm_7,SP=real;FSD=fake/real/real,1,0.37433054201231
adm_174,SP=real;FSD=real/fake/real,1,0.3725835889825388
adm_91,SP=real;FSD=real/fake/fake,1,0.3671051349728584
adm_7,SP=real;FSD=fake/fake/real,1,0.3666729149456671
