case_id,sample_id,image_path,ground_truth,stay_positive_score,stay_positive_postcal_prediction,official_fsd_prediction,fsd_finetune_v1_prediction,fsd_finetune_v2_prediction,conflict_count,conflict_type,priority_score,case_reason,prompt_type
adm_conflict_priority_01,adm_auto_2143,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/421_adm_153.PNG,fake,0.5924783011905372,fake,real,real,real,3,,0.5924783011905372,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_02,adm_auto_2720,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/508_adm_174.PNG,fake,0.5905729393524819,fake,real,real,real,3,,0.5905729393524819,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_03,adm_auto_2875,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/531_adm_153.PNG,fake,0.5681008981251455,fake,real,real,real,3,,0.5681008981251455,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_04,adm_auto_0355,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/153_adm_153.PNG,fake,0.5623095564953385,fake,real,real,real,3,,0.5623095564953385,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_05,adm_auto_2984,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/548_adm_174.PNG,fake,0.5554500514936569,fake,real,real,real,3,,0.5554500514936569,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_06,adm_auto_1421,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/312_adm_85.PNG,fake,0.5554119333101541,fake,real,real,real,3,,0.5554119333101541,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_07,adm_auto_1390,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/308_adm_7.PNG,fake,0.5490807328184251,fake,real,real,real,3,,0.5490807328184251,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_08,adm_auto_1383,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/307_adm_34.PNG,fake,0.5393903817525771,fake,real,real,real,3,,0.5393903817525771,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_09,adm_auto_0280,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/141_adm_7.PNG,fake,0.5336655471822973,fake,real,real,real,3,,0.5336655471822973,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_10,adm_auto_2252,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/438_adm_174.PNG,fake,0.5264720065346697,fake,real,real,real,3,,0.5264720065346697,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_11,adm_auto_1438,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/315_adm_7.PNG,fake,0.5252402873153506,fake,real,real,real,3,,0.5252402873153506,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
adm_conflict_priority_12,adm_auto_2693,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/503_adm_85.PNG,fake,0.5238951223644289,fake,real,real,real,3,,0.5238951223644289,Stay-Positive 校准后稳定判 fake，但 FSD official / v1 / v2 全部判 real，适合做方法互补性案例。,conflict
