case_id,sample_id,round_name,selection_role,source_group,image_path,ground_truth,case_type,scene_group,primary_abnormality,secondary_abnormality,evidence_level,human_judgement,paper_ready_summary,human_takeaway
adm_case_001,adm_auto_1230,priority3,优先案例,首轮 3 案例,analysis/adm_priority3_images/adm_case_001_284_adm_91.PNG,fake,训练回退,复杂生活场景,局部结构连接异常,,强,更倾向 AI 生成图像。,`adm_case_001` 表明，第二轮保守微调可能更容易被整体场景真实感干扰，而首轮微调仍能利用局部人体结构异常完成识别，因此它是“第二轮未进一步改善 ADM”的典型回退样本。,这是最典型的“整体自然感掩盖局部结构错误”的回退案例。
adm_case_004,adm_auto_1897,priority3,优先案例,首轮 3 案例,analysis/adm_priority3_images/adm_case_004_385_adm_153.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,偏向 AI 生成图像，但置信度不如 `adm_case_001` 高。,`adm_case_004` 说明 FSD 与 Stay-Positive 可能依赖不同层级的证据：前者更容易利用局部纹理和结构异常，后者则可能更容易受整体语义自然性影响，因此形成稳定冲突。,这是最适合解释“方法冲突来自不同证据链”的案例。
adm_case_002,adm_auto_1204,priority3,优先案例,首轮 3 案例,analysis/adm_priority3_images/adm_case_002_280_adm_7.PNG,fake,边界翻转,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,强,更倾向 AI 生成图像。,`adm_case_002` 说明 ADM 困难样本中的关键问题往往是局部融合错误而非全局语义崩坏，参数变化虽然能让模型跨阈值翻转，但不代表该类问题已被稳定解决。,这是很典型的边界翻转案例，直接支撑“参数变化会改变结论，但不等于稳定改进”的讨论。
adm_conflict_priority_01,adm_auto_2143,priority5,冲突案例,第二轮 5 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/421_adm_153.PNG,fake,方法冲突,设备/伪界面,局部结构连接异常,局部修补/过度平滑,中,更倾向 AI 生成图像。,`adm_conflict_priority_01` 表明，一类困难冲突样本并不依赖明显的人脸或文字错误，而是通过低照度、材质反光和近景构图制造整体真实感，同时在结构连接与空间透视层面暴露生成痕迹。这类样本可能更容易被关注局部异常模式的 Stay-Positive 捕捉，而被三组 FSD 共同漏判。,这是“整体像真实工业近景，但局部结构逻辑不成立”的典型强冲突样本。
adm_conflict_priority_02,adm_auto_2720,priority5,冲突案例,第二轮 5 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/508_adm_174.PNG,fake,方法冲突,设备/伪界面,伪文本/伪界面,局部修补/过度平滑,强,更倾向 AI 生成图像。,`adm_conflict_priority_02` 说明，强冲突样本中有一类属于“整体摄影真实，但局部伪文本非常明显”的情况。此类样本对具备局部异常敏感性的判别器更友好，却可能因为整体场景过于自然而被 FSD 三个版本共同判断为 real。,这是最容易解释“Stay-Positive 抓住局部异常、FSD 受整体语义迷惑”的案例之一。
adm_conflict_priority_03,adm_auto_2875,priority5,冲突案例,第二轮 5 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/531_adm_153.PNG,fake,方法冲突,设备/伪界面,伪文本/伪界面,,强,更倾向 AI 生成图像。,`adm_conflict_priority_03` 进一步支持了方法互补性判断：当样本依赖伪文本、伪界面和局部语义组织异常暴露问题时，Stay-Positive 可能仍能给出 fake，而 FSD 三个版本则可能因为整体设备外观自然、纹理稳定而共同漏判。,这是第二个非常强的“整体自然外观掩盖局部伪文本/伪界面错误”的冲突案例。
adm_conflict_priority_04,adm_auto_0355,priority5,冲突案例,第二轮 5 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/153_adm_153.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,偏向 AI 生成图像，但置信度略低于前两个伪文本案例。,`adm_conflict_priority_04` 代表了另一类更接近真实抓拍的困难冲突样本：整体语义合理，但主体关键区域出现局部修补和结构含混。这类样本说明，FSD 的系统性盲区不只来自伪文本，也可能来自对“局部失败被整体自然感掩盖”的宠物/生活场景图像。,这是“整体像真实宠物照，但关键区域被局部修补掩盖”的强冲突案例。
adm_conflict_priority_05,adm_auto_2984,priority5,冲突案例,第二轮 5 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/548_adm_174.PNG,fake,方法冲突,室内/建筑/结构场景,局部结构连接异常,局部修补/过度平滑,中,更倾向 AI 生成图像。,`adm_conflict_priority_05` 说明，除了伪文本和局部结构失败外，ADM strong-conflict 样本还包括“整体家居场景自然、但空间几何和物体摆放持续轻微失真”的类型。这类弱异常累积样本非常适合用于说明 FSD 在高自然度室内场景上的系统性漏判风险。,这是“没有明显单点大错，但多处弱异常叠加”的典型强冲突样本。
adm_conflict_priority_01,adm_auto_2143,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/421_adm_153.PNG,fake,方法冲突,设备/伪界面,局部结构连接异常,,强,更倾向 AI 生成图像。,这是一类依赖低照度材质与近景构图掩盖局部结构逻辑错误的高仿真冲突样本。,整体像真实工业近景，但局部结构关系站不住。
adm_conflict_priority_02,adm_auto_2720,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/508_adm_174.PNG,fake,方法冲突,设备/伪界面,伪文本/伪界面,,强,更倾向 AI 生成图像。,这类样本说明局部伪文本信号已经足够强，但 FSD 三个版本仍会被整体摄影感误导。,整体很真，文字最假。
adm_conflict_priority_03,adm_auto_2875,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/531_adm_153.PNG,fake,方法冲突,设备/伪界面,伪文本/伪界面,,强,更倾向 AI 生成图像。,这类样本是“外壳真实感强、界面语义失败”的代表，支持方法之间对局部语义异常取证权重不同的判断。,设备外观能骗过人，界面内容骗不过细看。
adm_conflict_priority_04,adm_auto_0355,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/153_adm_153.PNG,fake,方法冲突,室内/建筑/结构场景,生物体局部真实性不足,局部修补/过度平滑,强,偏向 AI 生成图像。,这是一类在生活场景中通过局部修补掩盖失败区域的困难样本，容易被整体自然感遮蔽。,关键错误不大，但恰好藏在最该清楚的区域。
adm_conflict_priority_05,adm_auto_2984,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/548_adm_174.PNG,fake,方法冲突,室内/建筑/结构场景,局部结构连接异常,局部修补/过度平滑,中,更倾向 AI 生成图像。,这类样本说明 FSD 在高自然度室内场景上可能系统性低估“多处弱异常累积”的风险。,没有单点大错，但越看越不对。
adm_conflict_priority_06,adm_auto_1421,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/312_adm_85.PNG,fake,方法冲突,生物体/自然场景,生物体局部真实性不足,,中,偏向 AI 生成图像，但置信度中等。,这类微距昆虫样本说明，即便不存在伪文本，局部生物结构异常仍可能被 Stay-Positive 捕捉，而被 FSD 共同漏掉。,整体是“真昆虫照片”的样子，但结构细看不够真。
adm_conflict_priority_07,adm_auto_1390,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/308_adm_7.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,更倾向 AI 生成图像。,这类样本说明 FSD 在细长生物体的局部结构约束上也可能存在稳定盲区。,远看像标本，近看像拼出来的。
adm_conflict_priority_08,adm_auto_1383,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/307_adm_34.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,偏向 AI 生成图像，但属于更边界的样本。,这类边界样本表明，即使整体摄影几乎无明显破绽，细粒度生物结构仍能暴露稳定的可疑信号。,这是更接近真实但仍留有细节破绽的一类。
adm_conflict_priority_09,adm_auto_0280,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/141_adm_7.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,偏向 AI 生成图像，但置信度低于伪文本样本。,这类鸟类单体样本说明，高自然度生物摄影中最难的部分不在整体语义，而在局部羽毛和接触关系的真实性。,第一眼像真鸟照，问题主要藏在结构触点。
adm_conflict_priority_10,adm_auto_2252,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/438_adm_174.PNG,fake,方法冲突,室内/建筑/结构场景,局部结构连接异常,,中,更倾向 AI 生成图像。,这类建筑样本表明，FSD 在高层建筑仰拍图像中也可能被全局透视成立所误导，而忽略局部立面结构异常。,透视看着真，但立面细节不够像真实建筑。
adm_conflict_priority_11,adm_auto_1438,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/315_adm_7.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,偏向 AI 生成图像。,这类昆虫正面微距样本支持一个判断：当图像整体依赖高度对称和浅景深制造真实感时，FSD 可能更容易忽略局部结构“过于整齐”的生成痕迹。,对称构图很真，但细节真得不够自然。
adm_conflict_priority_12,adm_auto_2693,top12,冲突案例,第三轮 Top12 案例,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/503_adm_85.PNG,fake,方法冲突,生物体/自然场景,局部结构连接异常,生物体局部真实性不足,中,偏向 AI 生成图像。,这类样本说明，昆虫微距图像中的高质量背景虚化并不能掩盖主体结构边界和材质表达上的生成痕迹。,背景和姿态都真，问题出在主体边界和材质质感。
